timestamp,duration,memory
168,30,150
170,30,150
326,30,150
327,30,150
568,49,150
603,4167,375
786,30,150
815,30,150
1082,30,150
1175,30,150
1335,49,150
1378,49,150
1386,30,150
1480,49,150
1520,30,150
1708,30,150
1732,10,147
1958,10,147
2142,30,150
2201,30,150
2277,220,185
2290,49,150
2329,381,177
2349,49,150
2518,49,150
2747,49,150
2753,49,150
2794,49,150
2817,30,150
2919,167,185
2973,49,150
3065,49,150
3453,49,150
3502,49,150
3578,833,177
3606,30,150
3784,1219,155
3831,49,150
3932,30,150
4289,49,150
4418,49,150
4757,49,150
4844,49,150
4914,30,150
4960,49,150
4981,30,150
4999,49,150
5065,49,150
5677,10,147
5696,49,150
5965,30,150
5973,3,125
6016,30,150
6030,123,181
6322,49,150
6460,30,150
6517,30,150
6590,30,150
6712,30,150
6838,49,150
6903,49,150
6913,30,150
7330,49,150
7473,30,150
7576,30,150
7838,49,150
7861,49,150
8228,49,150
8291,18180,148
8347,30,150
8367,49,150
8425,49,150
8470,49,150
8835,49,150
9112,93,203
9165,30,150
9167,273,176
9178,93,203
9575,49,150
9720,49,150
9744,30,150
9799,30,150
9852,49,150
10005,49,150
10054,49,150
10102,49,150
10123,49,150
10138,30,150
10519,30,150
10548,584,120
10677,835,128
10705,30,150
11391,49,150
11490,30,150
11858,49,150
11870,30,150
11887,30,150
11904,93,203
11928,49,150
11942,30,150
12035,30,150
12049,49,150
12289,950,174
12869,117,215
12993,877,185
13008,30,150
13051,30,150
13121,30,150
13125,30,150
13401,30,150
13611,30,150
13669,49,150
13713,49,150
13858,49,150
13959,30,150
14040,993,196
14146,30,150
14171,93,203
14204,49,150
14356,924,179
14372,49,150
14503,49,150
15215,93,203
15266,49,150
15276,30,150
15549,652,178
15572,697,187
15687,30,150
15813,49,150
15822,49,150
15843,851,179
16006,49,150
16019,208,187
16103,49,150
16525,30,150
16651,49,150
16739,30,150
16811,30,150
16820,10,147
16890,49,150
16934,30,150
17048,49,150
17205,49,150
17711,49,150
17767,30,150
17997,30,150
18027,30,150
18077,30,150
18254,49,150
18378,30,150
18559,30,150
18611,30,150
18766,4164,200
18823,30,150
18957,30,150
19178,30,150
19285,49,150
19661,1900,375
19666,30,150
19714,49,150
19757,30,150
19884,30,150
